Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
PRIO3;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
PSSA3;Financeiro e Outros;Previdência e Seguros;Seguradoras
RADL3;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
RAIZ4;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
RDOR3;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
RAIL3;Bens Industriais;Transporte;Transporte Ferroviário
SBSP3;Utilidade Pública;Água e Saneamento;Água e Saneamento
SANB11;Financeiro e Outros;Intermediários Financeiros;Bancos
CSNA3;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
SLCE3;Consumo não Cíclico;Agropecuária;Agricultura
SMFT3;Consumo Cíclico;Viagens e Lazer;Atividades Esportivas
SUZB3;Materiais Básicos;Madeira e Papel;Papel e Celulose
TAEE11;Utilidade Pública;Energia Elétrica;Energia Elétrica
VIVT3;Comunicações;Telecomunicações;Telecomunicações
TIMS3;Comunicações;Telecomunicações;Telecomunicações
TOTS3;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
UGPA3;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
USIM5;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
VALE3;Materiais Básicos;Mineração;Minerais Metálicos
VAMO3;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Construção e Agrícolas
VBBR3;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
VIVA3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Acessórios
WEGE3;Bens Industriais;Máquinas e Equipamentos;Motores . Compressores e Outros
YDUQ3;Consumo Cíclico;Diversos;Serviços Educacionais
